ABF1	BAF1_ABF1	1.1	3	GA	TF
AF-4	AF-4	1.1	3	GA	TF
AFT	AFT	1.1	3	GA	TF
Androgen_receptor	Androgen_recep	1.1	3	GA	TF
AP-2	TF_AP-2	1.1	3	GA	TF
AP2	AP2	1.1	3	GA	TF
APSES	KilA-N	1.1	3	GA	TF
ARID_BRIGHT	ARID	1.1	3	GA	TF
AT_hook	AT_hook	1.1	3	GA	TF
B3	B3	1.1	3	GA	TF
BBR_GAGA	GAGA_bind	1.1	3	GA	TF
BES1_BZR	BES1_N	1.1	3	GA	TF
Brinker	BrkDBD	1.1	3	GA	TF
bZIP	bZIP_1,bZIP_2,bZIP_Maf,Jun,PAP1	1.2	3	GA	TF
CG-1	CG-1	1.1	3	GA	TF
Copper-fist	Copper-fist	1.1	3	GA	TF
CSD	CSD	1.1	3	GA	TF
DBD_Tnp_MULE	DBD_Tnp_Mut	1.1	3	GA	TF
Doublesex_DM	DM,Dmrt1	1.1	3	GA	TF
E2F_TDP	DP,E2F_CC-MB,E2F_TDP	1.1	3	GA	TF
EIN3	EIN3	1.1	3	GA	TF
Ets	Ets,ETS_PEA3_N	1.1	3	GA	TF
FAR_FHY3	FAR1	1.1	3	GA	TF
Fez1	Fez1	1.1	3	GA	TF
FLO_LFY	C_LFY_FLO	1.1	3	GA	TF
Forkhead	Forkhead	1.1	3	GA	TF
Fungal_ZF	Fungal_trans,Zn_clus	1.1	3	GA	TF
GATA	GATA	1.1	3	GA	TF
GCM	GCM	1.1	3	GA	TF
GCR1	GCR1_C	1.1	3	GA	TF
Grainyhead_LSF	CP2	1.1	3	GA	TF
GRAS	GRAS	1.1	3	GA	TF
GTF2-like	GTF2I	1.1	3	GA	TF
HLH	COE1_DBD,COE1_HLH,Hairy_orange,HLH,Neuro_bHLH	1.1	3	GA	TF
HMGbox_Sox	HMG_box,HMG_box_2,HMG_box_5,MATalpha_HMGbox	1.1	3	GA	TF
Homeodomains	Homeobox_KN,Homeodomain,HPD,HNF-1_N,Pou,CUT,PAX,OAR	1.1	3	GA	TF
HSF	HSF_DNA-bind	1.1	3	GA	TF
IBD	IBD	1.1	3	GA	TF
ICP4	Herpes_ICP4_C	1.1	3	GA	TF
IRF	IRF	1.1	3	GA	TF
LAG1_CSL	BTD,LAG1-DNAbind	1.1	3	GA	TF
LOB	LOB	1.1	3	GA	TF
MADS-box_SRF	SRF-TF	1.1	3	GA	TF
MBD	MBD	1.1	3	GA	TF
mTERF	mTERF	1.1	3	GA	TF
Myb	MADF_DNA_bdg,Myb_DNA-bind_2,Myb_DNA-bind_3,Myb_DNA-bind_4,Myb_DNA-bind_5,Myb_DNA-bind_6,Myb_DNA-bind_7,Myb_DNA-binding,SANT_DAMP1_like	1.1	3	GA	TF
NAM_NAC	NAM	1.1	3	GA	TF
Ndt80_PhoG	NDT80_PhoG	1.1	3	GA	TF
NFX1_ZF	zf-NF-X1	1.1	3	GA	TF
NFYA	CBFB_NFYA	1.1	3	GA	TF
NFYB_NFYC	CBFD_NFYB_HMF	1.1	3	GA	TF
NRF1	Nrf1_DNA-bind	1.1	3	GA	TF
P53	CEP1-DNA_bind,P53	1.1	3	GA	TF
Pipsqueak	HTH_psq	1.1	3	GA	TF
PLATZ	PLATZ	1.1	3	GA	TF
RFX	RFX_DNA_binding	1.1	3	GA	TF
RHD_Rel	RHD_DNA_bind	1.1	3	GA	TF
Runt_Runx	Runt	1.1	3	GA	TF
RWP-RK	RWP-RK	1.1	3	GA	TF
S1FA	S1FA	1.1	3	GA	TF
SAND	SAND	1.1	3	GA	TF
SBP	SBP	1.1	3	GA	TF
SMAD_MH1	MH1	1.1	3	GA	TF
STAT	Dict-STAT-coil,STAT_bind	1.1	3	GA	TF
STE	STE	1.1	3	GA	TF
Storekeeper	DUF573	1.1	3	GA	TF
T-box	T-box	1.1	3	GA	TF
TBP	TBP	1.1	3	GA	TF
TCP	TCP	1.1	3	GA	TF
TEA	TEA	1.1	3	GA	TF
Tesmin_TSO1-like	TCR	1.1	3	GA	TF
TFIIA	TFIIA	1.1	3	GA	TF
